Age,Length,Otolith Weight
15,28.2,0.099
19,24.8,0.104
15,27.5,0.104
23,28,0.104
21,29.8,0.105
23,27.2,0.106
16,30.3,0.109
15,30.1,0.11
19,26.3,0.11
20,26.4,0.114
13,29.5,0.117
20,26.2,0.118
17,28,0.118
23,26.8,0.119
22,29,0.125
20,27.4,0.132
22,29.4,0.139
1,18.4,-
3,18.8,-
4,24.5,-
2,23.1,-
2,24.3,-
3,22.4,-
3,19.3,-
3,24.2,-
2,19,-
2,19.7,-
11,23.5,-
1,13,0.005
1,13.4,0.006
1,14.1,0.007
0,12.8,0.008
1,15.4,0.008
0,16.6,0.008
1,14.7,0.008
1,20.9,0.008
1,15,0.008
1,14.3,0.008
1,17.3,0.008
1,15.4,0.009
1,15.6,0.009
1,14.5,0.009
1,14.3,0.009
2,17.4,0.009
1,16.2,0.01
1,14.3,0.01
1,14.7,0.01
1,14.6,0.01
1,17.2,0.01
1,14.4,0.01
1,18.2,0.01
2,18.5,0.011
1,18.3,0.011
1,17.2,0.011
1,19,0.011
1,17.2,0.012
1,17.2,0.012
1,17.8,0.012
1,17.6,0.012
1,18,0.012
1,15.8,0.012
1,17.1,0.013
2,19.9,0.013
1,18,0.013
1,17.5,0.013
1,18.3,0.013
1,18.2,0.013
1,17.3,0.013
2,19.2,0.013
1,18.9,0.013
1,17.8,0.013
1,19.8,0.014
1,19.5,0.014
1,19.3,0.014
1,17.4,0.014
2,18.2,0.014
1,16.4,0.014
1,17.8,0.014
2,18.8,0.014
1,19,0.014
1,18.2,0.014
1,19.6,0.014
1,17.4,0.014
1,18.1,0.014
2,20.3,0.015
1,18.2,0.015
1,19.2,0.015
1,18.9,0.015
1,19.6,0.015
1,19,0.015
2,19.2,0.015
2,18.7,0.015
1,21,0.016
2,17.5,0.016
3,18.6,0.016
1,29.2,0.016
1,20.4,0.016
1,19.8,0.016
1,18.8,0.016
1,18.4,0.016
1,20.3,0.016
1,18.2,0.016
2,20.2,0.016
2,18.8,0.016
1,16.8,0.016
2,19.8,0.016
1,19.2,0.016
1,20.4,0.016
1,19.6,0.016
2,19.3,0.016
1,19.3,0.016
2,19.8,0.016
1,20,0.016
1,20.1,0.017
1,19.4,0.017
1,19.4,0.017
1,19.8,0.017
2,20.9,0.017
1,19.2,0.017
2,19.4,0.017
1,19.4,0.017
1,18.8,0.017
2,20.8,0.017
1,18.5,0.017
1,20.4,0.017
2,21.2,0.017
2,19.6,0.017
1,20.2,0.017
1,21.4,0.017
2,18.8,0.017
2,18.8,0.017
1,18.9,0.017
1,19.3,0.017
2,21.4,0.018
2,20.2,0.018
2,19.8,0.018
1,19.5,0.018
1,20.8,0.018
1,20.4,0.018
1,21.8,0.018
2,20.2,0.018
2,21,0.018
1,19.9,0.018
1,19.5,0.018
3,22.4,0.018
2,21.1,0.018
1,19.8,0.018
1,20.8,0.018
2,21.8,0.018
1,21.4,0.018
2,19.4,0.018
1,21.6,0.018
2,20.4,0.018
2,20.5,0.018
2,18.6,0.018
1,20.4,0.018
1,18.6,0.018
1,20.7,0.018
2,19.5,0.018
2,19,0.018
1,19.7,0.018
3,21.2,0.018
1,19.8,0.019
1,19.2,0.019
2,19.8,0.019
2,19.5,0.019
2,21.5,0.019
1,19.9,0.019
2,21.4,0.019
2,22.5,0.019
2,21.4,0.019
3,23.8,0.019
2,20.9,0.019
1,19.8,0.019
1,19.1,0.019
1,22.3,0.019
2,20.8,0.019
1,21.7,0.019
2,20.2,0.019
1,19.9,0.019
1,20.2,0.019
1,21.4,0.019
2,22.4,0.019
2,19.5,0.019
1,20.8,0.019
2,20.5,0.019
1,21.2,0.019
2,20.5,0.019
2,22.2,0.02
1,18.2,0.02
1,21.8,0.02
2,20.4,0.02
2,21.4,0.02
1,18.5,0.02
1,18.5,0.02
1,18.2,0.02
2,21.2,0.02
2,21.3,0.02
2,22.5,0.02
2,21.4,0.02
2,19.8,0.02
3,19.2,0.02
1,21.4,0.02
1,20.4,0.02
2,21.2,0.02
2,20.5,0.02
1,22,0.02
2,20.3,0.02
3,20.8,0.02
6,23.4,0.02
1,24.2,0.02
4,20,0.02
2,21.8,0.02
2,21.4,0.02
3,20.5,0.02
2,21.9,0.021
2,21.8,0.021
2,21.6,0.021
1,20.5,0.021
1,21.2,0.021
2,21.2,0.021
2,21.6,0.021
2,21.4,0.021
2,24.8,0.021
2,21.4,0.021
2,22.4,0.021
2,20.6,0.021
2,21.6,0.021
4,22.8,0.021
2,20.5,0.021
2,18.9,0.021
2,20.8,0.021
1,21.8,0.021
2,20.2,0.021
2,20.6,0.021
3,21.2,0.021
2,21,0.021
2,21.4,0.021
2,22.8,0.021
2,20.3,0.021
1,21,0.021
2,20.6,0.021
2,22.8,0.021
2,21.2,0.021
2,21.2,0.022
4,24.2,0.022
2,18.2,0.022
3,19.7,0.022
2,19.8,0.022
2,20.3,0.022
2,23.4,0.022
2,20.8,0.022
2,23.2,0.022
2,21.4,0.022
2,19.2,0.022
2,22.8,0.022
3,19.4,0.022
2,20.3,0.022
2,23.6,0.022
2,21.2,0.022
2,21.2,0.022
2,22,0.022
1,20.2,0.022
2,21.2,0.022
2,21.7,0.022
2,22.4,0.022
1,21.4,0.022
3,21.5,0.022
2,20.4,0.022
1,19.6,0.022
4,20.3,0.022
3,18.3,0.022
3,20.6,0.022
2,21.4,0.022
3,21.3,0.022
2,21.3,0.022
2,20.3,0.022
2,23.6,0.022
2,21.2,0.023
2,20.5,0.023
1,22.5,0.023
2,22.3,0.023
2,23.1,0.023
3,21.9,0.023
2,21.6,0.023
1,19.9,0.023
1,19.5,0.023
2,21.9,0.023
2,20.5,0.023
2,19.7,0.023
2,20.8,0.023
2,21.7,0.023
2,20.5,0.023
2,22.4,0.023
2,21.3,0.023
3,21.3,0.023
1,22.4,0.023
1,23.1,0.023
3,23.8,0.023
3,21.8,0.023
3,24.3,0.023
2,20.8,0.023
2,20.8,0.023
1,21.4,0.023
3,20.2,0.023
3,23.3,0.023
3,20.4,0.023
3,19.5,0.023
2,20.2,0.024
2,22.2,0.024
1,21,0.024
1,24.3,0.024
2,21.7,0.024
2,23.1,0.024
2,24.2,0.024
3,22,0.024
2,21.4,0.024
3,22.4,0.024
2,23.4,0.024
2,22.3,0.024
2,22.5,0.024
2,22.9,0.024
4,22.8,0.024
2,22.6,0.024
1,20.2,0.024
2,21.6,0.024
3,19.8,0.024
3,20.8,0.024
2,25,0.024
3,22,0.024
3,22.8,0.024
2,22,0.024
2,23.2,0.025
3,21.3,0.025
2,20.2,0.025
2,20.8,0.025
2,20.8,0.025
3,21.1,0.025
4,31,0.025
4,20,0.025
2,21,0.025
2,23.8,0.025
3,23.3,0.025
2,22.4,0.025
2,22.6,0.025
2,22.5,0.025
4,21.9,0.025
2,19.6,0.025
2,20.7,0.025
3,19.6,0.025
3,21.2,0.025
2,19.8,0.025
2,22,0.025
2,23.2,0.025
3,21,0.025
2,22,0.025
2,21.7,0.025
1,21.4,0.025
2,23.2,0.025
3,21.6,0.025
4,21.8,0.025
3,22.6,0.025
2,24,0.025
2,23.9,0.025
4,23,0.025
2,22.8,0.025
2,22.7,0.025
3,25.8,0.026
3,23.2,0.026
3,21.4,0.026
2,25,0.026
3,24,0.026
2,21.3,0.026
3,20.5,0.026
3,22.7,0.026
2,23,0.026
2,24.4,0.026
2,22.5,0.026
2,22,0.026
3,23.3,0.026
2,23.2,0.026
2,19.5,0.026
2,23.6,0.026
4,24.5,0.026
5,23.2,0.026
2,22.8,0.026
3,22,0.026
2,26,0.026
2,25.2,0.026
5,23,0.026
2,21,0.026
2,23.9,0.026
3,23.4,0.026
2,21.8,0.026
2,22.9,0.026
2,24.1,0.026
2,22.3,0.026
3,22.3,0.026
3,20.7,0.026
3,20.8,0.026
3,22.3,0.026
5,21,0.026
3,23.2,0.026
2,24,0.026
2,23.8,0.026
4,22.4,0.026
2,22.4,0.027
3,23.8,0.027
2,22.3,0.027
3,22.8,0.027
4,22.7,0.027
3,22.8,0.027
4,24.3,0.027
5,16.9,0.027
5,22.2,0.027
4,21,0.027
2,25.2,0.027
1,22.6,0.027
3,21.7,0.027
3,21.2,0.027
2,21.4,0.027
4,22.4,0.027
4,23.6,0.027
4,22.4,0.027
2,22,0.027
4,23.4,0.027
2,21.7,0.027
3,22.1,0.027
3,22.4,0.027
2,24.4,0.027
3,23.5,0.027
3,23.4,0.027
4,24.5,0.027
3,21.6,0.027
3,22.4,0.027
3,21.8,0.027
3,22.3,0.027
5,22.8,0.027
2,22,0.027
2,25.2,0.027
2,24.5,0.027
4,23.7,0.027
2,21.4,0.027
1,23.2,0.028
4,22.7,0.028
3,21.9,0.028
4,21,0.028
2,24.2,0.028
2,20.2,0.028
2,23.8,0.028
2,26,0.028
2,24.3,0.028
4,22.8,0.028
2,26.2,0.028
3,23.5,0.028
3,23.2,0.028
4,23.4,0.028
2,24.4,0.028
4,24.9,0.028
5,21.4,0.028
4,24.3,0.028
4,22.7,0.028
3,27,0.028
5,22.2,0.028
4,22.4,0.028
4,24.5,0.028
3,21,0.028
2,22.2,0.028
2,25.1,0.028
3,23.5,0.028
4,22,0.028
4,23.3,0.028
3,23,0.028
3,22.8,0.028
3,22.5,0.028
3,23.5,0.028
3,23.8,0.028
2,25.2,0.028
2,23.8,0.028
3,22.8,0.028
4,24.3,0.028
4,21,0.028
4,24.2,0.028
7,24.2,0.029
5,23.2,0.029
4,20.3,0.029
2,27,0.029
9,22,0.029
2,23.2,0.029
2,24.5,0.029
3,24.6,0.029
2,23.7,0.029
4,23.3,0.029
5,23.5,0.029
3,22.4,0.029
3,21.8,0.029
5,22,0.029
3,22.1,0.029
3,24.6,0.029
3,24.1,0.029
4,23,0.029
2,24.2,0.029
3,23.3,0.029
3,21.8,0.029
4,23,0.029
2,26.8,0.029
2,23.4,0.029
1,24.3,0.029
3,25.4,0.029
2,24.2,0.029
3,23.6,0.029
3,23.6,0.029
3,24.8,0.029
3,23.8,0.029
2,25.7,0.029
2,23.7,0.029
4,22,0.029
2,26.3,0.029
3,23.6,0.029
3,22.4,0.029
4,29.2,0.03
3,21.7,0.03
4,22.2,0.03
2,24.5,0.03
4,24.6,0.03
3,23,0.03
2,26.3,0.03
4,23,0.03
3,23.6,0.03
4,23.5,0.03
4,22.5,0.03
3,23,0.03
2,23.8,0.03
5,22.6,0.03
3,22.9,0.03
3,23.2,0.03
4,23.5,0.03
4,24,0.03
2,24.8,0.03
2,26.2,0.03
2,26.3,0.03
2,24.8,0.03
3,24.7,0.03
4,23.8,0.03
4,23.4,0.03
3,23.4,0.03
3,24.5,0.03
3,23.8,0.03
3,24.3,0.03
4,22.9,0.03
3,23.5,0.03
3,23.8,0.03
3,24.2,0.03
4,22,0.03
2,24.6,0.03
3,23.4,0.03
2,25.7,0.03
4,22.8,0.03
2,24.2,0.031
4,26,0.031
4,23.2,0.031
2,23.1,0.031
3,22.3,0.031
4,23,0.031
4,26.2,0.031
2,23.8,0.031
4,24,0.031
4,27.3,0.031
3,24.8,0.031
4,21,0.031
4,24,0.031
5,23.6,0.031
4,23.8,0.031
4,21.8,0.031
3,18.8,0.031
4,18.2,0.031
6,22.8,0.031
5,23.8,0.031
5,21.9,0.031
5,21,0.031
5,22.5,0.031
3,24.2,0.031
3,24,0.031
3,24.6,0.031
4,23.5,0.031
3,24,0.031
2,25.8,0.031
4,23,0.031
1,27.2,0.031
3,24.8,0.031
2,25.3,0.031
4,25.6,0.031
4,22.4,0.031
3,24.8,0.031
4,23.5,0.031
4,23.5,0.031
3,23.2,0.031
5,30,0.031
4,32,0.031
2,24.5,0.031
2,23.7,0.031
3,25.7,0.031
3,22.9,0.031
5,23.9,0.031
2,26.2,0.032
2,26.8,0.032
3,24.4,0.032
4,24.8,0.032
3,24.5,0.032
3,25.2,0.032
3,26.5,0.032
4,24.5,0.032
3,24.5,0.032
4,23.3,0.032
4,22.8,0.032
5,24.2,0.032
4,23,0.032
4,23.6,0.032
3,22.9,0.032
3,23.4,0.032
5,24.2,0.032
4,23.8,0.032
5,24.5,0.032
4,22.2,0.032
6,22.2,0.032
7,23.5,0.032
3,23,0.032
2,27.4,0.032
2,24.7,0.032
2,27,0.032
3,24.5,0.032
3,24.4,0.032
3,27.4,0.032
4,23.8,0.032
4,22.8,0.032
5,22.4,0.032
4,23,0.032
4,23.5,0.032
4,25.3,0.032
5,23.8,0.032
3,24.8,0.032
4,24.2,0.032
3,24.1,0.032
3,23.3,0.032
4,24,0.032
3,23,0.032
4,27,0.032
2,26.2,0.032
1,25.9,0.032
3,24.8,0.032
3,25.7,0.033
4,22.7,0.033
3,24,0.033
4,23.2,0.033
5,22.6,0.033
3,24.2,0.033
2,23.5,0.033
4,24.4,0.033
1,26.4,0.033
3,24.4,0.033
4,23.9,0.033
3,24.5,0.033
3,24.6,0.033
4,23.6,0.033
3,22.6,0.033
6,23.2,0.033
3,23.2,0.033
3,24.3,0.033
5,24.2,0.033
5,23.8,0.033
5,23,0.033
2,24.8,0.033
2,24.2,0.033
2,23.8,0.033
3,26,0.033
5,24.6,0.033
1,24.5,0.033
3,25.8,0.033
2,24.8,0.033
3,27.1,0.033
3,22.8,0.033
3,23.2,0.033
4,23,0.033
4,24,0.033
3,24.8,0.033
3,22.8,0.033
4,23,0.033
4,28.4,0.034
4,26.2,0.034
4,24.8,0.034
5,26.2,0.034
4,23.8,0.034
3,24.8,0.034
4,25.2,0.034
2,27.3,0.034
5,25.2,0.034
3,25.8,0.034
4,24.7,0.034
3,27.2,0.034
3,26.8,0.034
2,24.8,0.034
4,24.5,0.034
4,24.4,0.034
4,23.9,0.034
3,23.7,0.034
6,21.5,0.034
3,24.6,0.034
6,22.6,0.034
6,22.3,0.034
3,26.1,0.034
5,31,0.034
4,25,0.034
4,26,0.034
2,23.8,0.034
4,24.6,0.034
4,24.4,0.034
4,24.2,0.034
2,25.6,0.034
4,26.5,0.034
5,23,0.034
4,25,0.034
4,22.6,0.034
4,22.3,0.034
3,22.5,0.034
13,26,0.034
3,23,0.034
3,24.7,0.034
5,24.3,0.034
4,25,0.034
2,25.8,0.035
4,25.9,0.035
4,23.5,0.035
3,25,0.035
3,28.5,0.035
8,22.2,0.035
3,26.3,0.035
3,26.2,0.035
4,26.4,0.035
4,26.2,0.035
3,26,0.035
4,24.2,0.035
4,24.6,0.035
5,25.1,0.035
5,28.1,0.035
4,24.3,0.035
4,25.6,0.035
4,25.4,0.035
3,24.3,0.035
5,25,0.035
3,25,0.035
4,22,0.035
3,26.3,0.035
3,25.2,0.035
3,25.2,0.035
3,25.2,0.035
5,23.7,0.035
4,24,0.035
2,26.2,0.035
3,25.2,0.035
3,28,0.035
5,27.5,0.035
4,23.8,0.035
6,21.2,0.035
3,26.5,0.035
3,26.4,0.035
4,25.4,0.035
3,25.5,0.035
2,26.4,0.035
3,27.2,0.036
5,24,0.036
6,24.5,0.036
6,25.8,0.036
4,24.8,0.036
3,26.5,0.036
3,24,0.036
4,29.3,0.036
4,25.8,0.036
4,25.8,0.036
4,27.5,0.036
2,26,0.036
5,22.8,0.036
5,25,0.036
5,26.2,0.036
5,24.7,0.036
5,25,0.036
5,25.6,0.036
4,24.7,0.036
4,24.2,0.036
3,26.4,0.036
2,29.5,0.036
2,28.2,0.036
1,27.8,0.036
4,24,0.036
5,27.2,0.036
4,24,0.036
5,22.2,0.036
5,23.4,0.036
3,26.2,0.036
4,24,0.036
3,26.9,0.037
4,25.5,0.037
3,27.2,0.037
4,22,0.037
4,22.5,0.037
5,24.5,0.037
3,27,0.037
1,26.8,0.037
3,26.3,0.037
3,27.2,0.037
3,26.8,0.037
5,25.6,0.037
4,24.3,0.037
5,28.2,0.037
6,26.2,0.037
4,24.2,0.037
4,27,0.037
3,27.5,0.037
2,28,0.037
2,27.2,0.037
2,26.6,0.037
3,28.3,0.037
3,25.4,0.037
3,27.4,0.037
4,26.2,0.037
6,24.2,0.037
3,26.7,0.037
4,24,0.037
5,24.7,0.037
3,26,0.037
3,26.3,0.037
4,23,0.037
3,27.2,0.037
4,25.2,0.037
3,26.5,0.037
3,28.8,0.037
4,26.2,0.037
3,24.9,0.037
5,25,0.037
4,26.4,0.037
4,25.8,0.038
6,24.4,0.038
8,24,0.038
3,26.3,0.038
1,25.4,0.038
3,25.9,0.038
3,25.8,0.038
4,27.2,0.038
4,26.9,0.038
4,24.7,0.038
5,25.8,0.038
3,27.5,0.038
4,23.8,0.038
3,25.2,0.038
6,22.6,0.038
6,23.8,0.038
7,26,0.038
4,23,0.038
5,24.8,0.038
3,25.1,0.038
5,25.6,0.038
3,27.3,0.038
4,27.4,0.038
5,24.8,0.038
4,24.7,0.038
4,26,0.038
6,23.5,0.038
7,23.5,0.038
4,25.3,0.038
7,22.3,0.038
4,26.2,0.038
4,26.8,0.038
5,25.4,0.038
5,24.2,0.039
6,22.8,0.039
8,24.1,0.039
2,26.5,0.039
4,27.1,0.039
3,29,0.039
5,25.3,0.039
3,26.2,0.039
4,24.6,0.039
4,26.5,0.039
6,26.2,0.039
3,25.5,0.039
6,24.4,0.039
5,23.2,0.039
8,22.2,0.039
4,26,0.039
3,28.1,0.039
5,27.8,0.039
4,27.5,0.039
3,26.3,0.039
4,24.2,0.039
4,27.4,0.039
4,27.2,0.039
3,27.5,0.039
3,28.7,0.039
5,25,0.039
8,22.6,0.039
7,24.4,0.039
5,25.8,0.039
3,26.6,0.039
3,28.8,0.04
3,26.8,0.04
4,25.6,0.04
6,23.6,0.04
6,23.8,0.04
6,25.2,0.04
7,23,0.04
8,23,0.04
5,24.6,0.04
5,25,0.04
3,26,0.04
2,29,0.04
4,24.2,0.04
5,23.8,0.04
6,26.5,0.04
7,24.8,0.04
7,23.2,0.04
8,22.8,0.04
4,24.2,0.04
5,24.5,0.04
2,28.1,0.04
6,26.9,0.04
3,26.5,0.04
5,24.8,0.04
3,28.3,0.04
4,30.2,0.04
5,26,0.04
3,26.7,0.04
4,24.6,0.04
6,22.3,0.04
6,23.2,0.04
5,26,0.04
6,25.8,0.04
4,26.7,0.04
4,27.6,0.04
3,29.7,0.04
2,27.5,0.041
4,27,0.041
3,28.2,0.041
5,25.6,0.041
6,27.2,0.041
7,23.6,0.041
7,23,0.041
5,27.8,0.041
4,28.9,0.041
3,28.6,0.041
4,27.5,0.041
6,25,0.041
5,23.8,0.041
5,27.4,0.041
3,27.7,0.041
3,28.1,0.041
7,23.8,0.041
5,23.5,0.041
5,23.7,0.041
6,26.8,0.041
6,27.5,0.041
7,24.6,0.041
6,23.8,0.041
9,23,0.041
3,25,0.041
4,27.7,0.041
5,26.4,0.041
3,27.4,0.041
4,29.2,0.041
4,27,0.041
4,25.2,0.041
6,25.3,0.041
5,24.2,0.041
5,25.8,0.041
3,27.1,0.041
2,28.8,0.041
5,26.5,0.041
5,24.9,0.041
2,28.8,0.041
5,25.4,0.041
5,25.2,0.041
5,26.2,0.041
2,28.2,0.042
3,27.6,0.042
7,24.3,0.042
6,25.2,0.042
7,24.2,0.042
5,26.6,0.042
4,26.8,0.042
3,27.2,0.042
7,26,0.042
3,28.1,0.042
3,28.4,0.042
4,25.9,0.042
5,25.6,0.042
5,25.6,0.042
6,23.9,0.042
6,25.4,0.042
6,24.2,0.042
4,25.9,0.042
7,24.5,0.042
8,22.5,0.042
6,23.3,0.042
6,26.2,0.042
6,24,0.042
5,26.2,0.042
3,29.4,0.042
4,26.5,0.042
4,28,0.042
4,30.4,0.042
6,24.5,0.042
2,29.1,0.042
4,27.2,0.042
5,25.5,0.042
5,24.3,0.042
3,28,0.042
5,23.8,0.042
5,27.1,0.042
6,25.4,0.042
4,26.4,0.043
2,28.4,0.043
5,27.3,0.043
5,27,0.043
7,24.5,0.043
8,25,0.043
4,28.3,0.043
4,28.2,0.043
5,25.4,0.043
4,26.3,0.043
5,27.6,0.043
5,25.2,0.043
3,27.3,0.043
4,26.7,0.043
4,26.3,0.043
6,29.4,0.043
7,26.8,0.043
3,25.2,0.043
7,24.2,0.043
2,25,0.043
2,27.6,0.043
4,27.2,0.043
9,24.8,0.043
5,24.8,0.043
3,28.5,0.043
5,27.4,0.043
6,25.7,0.043
6,26.5,0.043
5,25.2,0.043
7,25.7,0.043
4,27.3,0.043
3,27,0.043
8,23,0.043
4,27.9,0.043
6,24.1,0.043
5,25.5,0.043
4,26.1,0.043
6,25.3,0.043
4,27.2,0.044
7,26.5,0.044
4,29.4,0.044
3,27.8,0.044
7,25.2,0.044
4,26.8,0.044
5,26.3,0.044
5,25.5,0.044
7,25.3,0.044
5,25,0.044
2,28,0.044
5,28.8,0.044
6,26.6,0.044
5,28.7,0.044
3,29.7,0.044
3,31.5,0.044
4,23.8,0.044
5,24.3,0.044
4,26.3,0.044
4,25.5,0.044
7,24.8,0.044
7,25.2,0.044
8,26,0.044
4,27,0.044
6,25.1,0.044
3,30.2,0.044
7,27.6,0.044
3,28.7,0.044
5,26.4,0.044
4,25,0.045
7,26,0.045
7,25.2,0.045
7,26,0.045
3,30.3,0.045
4,30.3,0.045
5,26.2,0.045
5,25.8,0.045
4,25.2,0.045
7,24.7,0.045
7,24.6,0.045
7,25.5,0.045
6,27.7,0.045
3,28.1,0.045
7,26,0.045
5,28,0.045
4,28.7,0.045
5,28.4,0.045
3,27.2,0.045
3,28.4,0.045
4,27.8,0.045
4,27.2,0.045
5,26.2,0.045
5,26.2,0.045
3,27.9,0.045
7,25,0.045
4,25,0.045
7,26.5,0.046
6,27.5,0.046
4,26.3,0.046
9,26,0.046
5,27.2,0.046
6,26.3,0.046
6,25.4,0.046
6,27.8,0.046
5,27.5,0.046
6,27.2,0.046
8,25.4,0.046
7,25,0.046
6,25,0.046
4,26.3,0.046
5,30.3,0.046
5,27.6,0.046
8,26.4,0.046
7,34,0.046
8,25,0.046
5,28,0.046
4,27.6,0.046
6,24,0.046
3,28.4,0.046
7,27.4,0.047
8,25.2,0.047
5,26.4,0.047
2,28.2,0.047
6,27.8,0.047
3,29.3,0.047
6,27.3,0.047
5,29.5,0.047
6,28.4,0.047
4,27.5,0.047
5,24.5,0.047
4,27.2,0.047
7,25.2,0.047
7,24.6,0.047
8,26.4,0.047
6,24.7,0.047
5,26.5,0.047
7,24.8,0.047
5,28,0.047
5,26.6,0.047
5,27.7,0.047
4,27.6,0.047
8,24,0.047
5,26.2,0.047
7,26.3,0.047
6,26.4,0.047
2,29.5,0.048
5,27.2,0.048
6,27.1,0.048
5,29.2,0.048
7,24.2,0.048
5,27.4,0.048
3,29.5,0.048
7,28.5,0.048
5,27.7,0.048
7,25.6,0.048
5,27,0.048
5,30.4,0.048
6,31.3,0.048
6,31.2,0.048
6,24.7,0.048
7,26.2,0.048
7,37,0.048
8,25,0.048
8,25,0.048
4,27,0.048
2,25.7,0.048
5,28.2,0.048
5,28.5,0.048
4,26,0.048
5,25.2,0.048
4,27.1,0.048
6,26.5,0.048
7,26.2,0.048
8,25,0.048
5,26.7,0.048
7,26.2,0.048
6,27.2,0.048
3,32,0.048
4,27.3,0.049
5,29.5,0.049
4,28.7,0.049
5,27.5,0.049
5,26,0.049
5,27.4,0.049
7,25.2,0.049
5,29.2,0.049
4,26.6,0.049
6,29,0.049
7,27.8,0.049
7,27.6,0.049
7,25.5,0.049
7,25,0.049
4,30,0.049
8,26,0.049
7,26.4,0.049
4,27.3,0.049
5,30.3,0.049
3,26.2,0.049
7,25.2,0.049
8,24.8,0.049
6,25.2,0.049
5,25.3,0.049
5,30.2,0.049
9,26,0.049
5,29.2,0.05
8,28.2,0.05
6,27.8,0.05
3,29.1,0.05
6,25.6,0.05
6,28.8,0.05
4,29,0.05
4,27.7,0.05
6,27.8,0.05
5,29.6,0.05
7,26.8,0.05
6,26.8,0.05
6,27.1,0.05
6,24,0.05
3,30.2,0.05
5,29.5,0.05
4,28,0.05
4,25.5,0.05
7,26.9,0.05
5,26.3,0.05
8,31.2,0.05
5,28.2,0.05
9,26.2,0.05
3,29,0.051
4,31.9,0.051
9,25,0.051
9,25.9,0.051
4,25.7,0.051
4,27.5,0.051
4,26.8,0.051
3,27.6,0.051
4,27.5,0.051
6,29.8,0.051
6,27.6,0.051
4,30.7,0.051
7,27.8,0.051
9,25,0.051
7,26.4,0.051
6,27.4,0.051
8,26.4,0.052
5,25.9,0.052
10,26.5,0.052
10,24,0.052
6,28.8,0.052
5,26,0.052
8,27.7,0.052
5,26.5,0.052
7,27.4,0.052
7,25,0.052
9,24,0.052
6,28.2,0.052
5,27.6,0.052
6,29.2,0.052
4,31,0.053
8,27.4,0.053
4,31.8,0.053
7,27.2,0.053
7,28.3,0.053
5,27.2,0.053
5,30.2,0.053
11,26.3,0.053
6,30.4,0.053
7,24.8,0.053
6,28.3,0.053
10,29,0.053
7,27.6,0.053
7,26.3,0.053
6,24.8,0.053
6,27,0.053
7,27.8,0.053
8,25.2,0.053
7,25.2,0.053
6,27.6,0.053
6,27.6,0.053
6,22.4,0.053
5,29.5,0.053
6,26,0.053
6,27.9,0.053
9,26.3,0.053
5,26.4,0.054
7,27.5,0.054
6,27.2,0.054
6,25.4,0.054
4,32.3,0.054
4,29.6,0.054
8,25.7,0.054
6,28.4,0.054
6,27.5,0.054
5,27.8,0.054
7,29.2,0.054
6,23.4,0.055
5,30.2,0.055
7,26.4,0.055
9,26.6,0.055
6,28.9,0.055
7,26.8,0.055
6,27.8,0.055
6,27.8,0.055
6,27,0.055
8,26.9,0.055
7,29.6,0.055
11,25.7,0.056
7,27.2,0.056
10,30.8,0.056
7,27.2,0.056
9,27.8,0.056
6,28.8,0.056
9,24,0.056
10,27.8,0.056
5,32.3,0.056
6,28.6,0.056
5,29.2,0.056
7,26,0.056
5,32,0.056
6,27.4,0.056
7,26.2,0.056
10,25.8,0.056
7,27.5,0.056
5,29.5,0.056
8,28.8,0.057
6,27.4,0.057
6,29.8,0.057
10,27.5,0.057
4,31.8,0.057
11,24.5,0.057
8,26.4,0.057
8,27.6,0.057
7,29.3,0.057
6,31.2,0.058
6,30.8,0.058
3,27.4,0.058
5,31.7,0.058
8,26.9,0.058
8,29.4,0.058
7,26.7,0.058
7,28.4,0.058
8,25.8,0.058
9,26.2,0.058
6,32.5,0.058
4,28.2,0.058
6,27.2,0.058
6,28.2,0.058
6,31.4,0.059
5,33.2,0.059
8,28.4,0.059
6,27.5,0.059
7,26.5,0.059
7,28.9,0.059
8,28.2,0.059
4,28.2,0.059
9,27.2,0.059
5,31.5,0.059
6,27.8,0.059
6,33.1,0.06
6,29.3,0.06
7,27.3,0.06
7,28.2,0.06
5,28,0.06
8,30.2,0.06
8,27,0.06
6,27,0.06
6,28.5,0.06
5,29.2,0.06
7,29.5,0.06
7,26,0.06
7,28.3,0.06
6,28,0.061
7,29.6,0.061
7,28.8,0.061
8,30.2,0.061
12,26,0.061
9,27,0.061
4,30.9,0.061
9,26.3,0.061
7,27.8,0.061
6,28.8,0.061
9,27.2,0.061
8,27,0.061
6,34,0.062
7,26.8,0.062
7,26.9,0.062
8,29.5,0.062
9,28.3,0.062
8,26.2,0.062
9,27.7,0.062
8,29.2,0.062
8,28.8,0.062
10,26.8,0.062
6,29.3,0.062
6,29.6,0.062
10,25.7,0.062
8,30.5,0.062
9,28.8,0.063
7,29,0.063
8,28,0.063
5,32.4,0.063
10,26.1,0.063
6,30.2,0.063
6,28.5,0.063
8,28.2,0.064
9,27.3,0.064
6,29.6,0.064
10,26.5,0.064
6,28.2,0.064
9,28,0.064
8,28,0.064
8,27.8,0.064
6,34.2,0.064
5,32.3,0.064
10,27,0.065
10,27.8,0.065
8,29.1,0.065
10,27.8,0.065
7,28.2,0.065
5,27,0.066
10,26.2,0.066
9,28.2,0.066
10,30,0.066
7,24.9,0.066
8,28.3,0.066
7,27,0.067
7,29.8,0.067
7,27.6,0.067
10,28.5,0.067
7,30.7,0.067
